Date(UTC),UnixTimeStamp,Value
8/19/16,1471564800,42948
8/20/16,1471651200,41318
8/21/16,1471737600,42543
8/22/16,1471824000,44250
8/23/16,1471910400,48430
8/24/16,1471996800,46821
8/25/16,1472083200,49868
8/26/16,1472169600,47292
8/27/16,1472256000,47938
8/28/16,1472342400,42607
8/29/16,1472428800,45510
8/30/16,1472515200,46979
8/31/16,1472601600,45846
9/1/16,1472688000,47491
9/2/16,1472774400,55413
9/3/16,1472860800,44792
9/4/16,1472947200,48128
9/5/16,1473033600,42667
9/6/16,1473120000,49102
9/7/16,1473206400,48701
9/8/16,1473292800,55970
9/9/16,1473379200,53918
9/10/16,1473465600,42875
9/11/16,1473552000,43345
9/12/16,1473638400,45123
9/13/16,1473724800,42591
9/14/16,1473811200,53859
9/15/16,1473897600,52622
9/16/16,1473984000,57532
9/17/16,1474070400,46882
9/18/16,1474156800,37893
9/19/16,1474243200,40505
9/20/16,1474329600,54067
9/21/16,1474416000,44549
9/22/16,1474502400,52657
9/23/16,1474588800,35219
9/24/16,1474675200,43418
9/25/16,1474761600,38713
9/26/16,1474848000,43514
9/27/16,1474934400,46817
9/28/16,1475020800,42797
9/29/16,1475107200,40416
9/30/16,1475193600,35836
10/1/16,1475280000,53076
10/2/16,1475366400,51105
10/3/16,1475452800,47672
10/4/16,1475539200,56662
10/5/16,1475625600,41719
10/6/16,1475712000,36826
10/7/16,1475798400,43708
10/8/16,1475884800,37690
10/9/16,1475971200,43940
10/10/16,1476057600,44940
10/11/16,1476144000,41053
10/12/16,1476230400,30002
10/13/16,1476316800,32244
10/14/16,1476403200,42006
10/15/16,1476489600,33662
10/16/16,1476576000,34990
10/17/16,1476662400,38136
10/18/16,1476748800,51898
10/19/16,1476835200,38497
10/20/16,1476921600,43438
10/21/16,1477008000,57780
10/22/16,1477094400,37772
10/23/16,1477180800,35364
10/24/16,1477267200,52547
10/25/16,1477353600,47610
10/26/16,1477440000,45158
10/27/16,1477526400,44353
10/28/16,1477612800,41522
10/29/16,1477699200,40011
10/30/16,1477785600,39435
10/31/16,1477872000,45031
11/1/16,1477958400,49025
11/2/16,1478044800,43519
11/3/16,1478131200,42346
11/4/16,1478217600,32572
11/5/16,1478304000,37690
11/6/16,1478390400,34391
11/7/16,1478476800,41941
11/8/16,1478563200,41569
11/9/16,1478649600,40517
11/10/16,1478736000,40164
11/11/16,1478822400,41070
11/12/16,1478908800,40882
11/13/16,1478995200,43673
11/14/16,1479081600,43876
11/15/16,1479168000,45330
11/16/16,1479254400,41684
11/17/16,1479340800,40738
11/18/16,1479427200,43785
11/19/16,1479513600,39289
11/20/16,1479600000,42125
11/21/16,1479686400,42735
11/22/16,1479772800,53585
11/23/16,1479859200,64289
11/24/16,1479945600,36861
11/25/16,1480032000,58075
11/26/16,1480118400,40804
11/27/16,1480204800,44449
11/28/16,1480291200,48388
11/29/16,1480377600,47036
11/30/16,1480464000,39178
12/1/16,1480550400,37121
12/2/16,1480636800,41642
12/3/16,1480723200,41357
12/4/16,1480809600,39643
12/5/16,1480896000,41613
12/6/16,1480982400,48200
12/7/16,1481068800,41757
12/8/16,1481155200,39587
12/9/16,1481241600,41444
12/10/16,1481328000,40564
12/11/16,1481414400,39164
12/12/16,1481500800,38741
12/13/16,1481587200,44664
12/14/16,1481673600,47294
12/15/16,1481760000,46102
12/16/16,1481846400,43953
12/17/16,1481932800,39442
12/18/16,1482019200,36640
12/19/16,1482105600,45599
12/20/16,1482192000,44241
12/21/16,1482278400,50793
12/22/16,1482364800,55173
12/23/16,1482451200,44391
12/24/16,1482537600,37757
12/25/16,1482624000,36601
12/26/16,1482710400,34565
12/27/16,1482796800,42370
12/28/16,1482883200,43386
12/29/16,1482969600,46546
12/30/16,1483056000,44561
12/31/16,1483142400,41220
1/1/17,1483228800,38730
1/2/17,1483315200,39652
1/3/17,1483401600,45883
1/4/17,1483488000,50673
1/5/17,1483574400,49596
1/6/17,1483660800,43804
1/7/17,1483747200,43622
1/8/17,1483833600,42727
1/9/17,1483920000,46188
1/10/17,1484006400,48179
1/11/17,1484092800,45221
1/12/17,1484179200,50589
1/13/17,1484265600,50833
1/14/17,1484352000,42044
1/15/17,1484438400,41748
1/16/17,1484524800,45375
1/17/17,1484611200,46671
1/18/17,1484697600,44994
1/19/17,1484784000,43628
1/20/17,1484870400,45775
1/21/17,1484956800,43302
1/22/17,1485043200,47432
1/23/17,1485129600,46076
1/24/17,1485216000,50414
1/25/17,1485302400,46256
1/26/17,1485388800,46856
1/27/17,1485475200,46680
1/28/17,1485561600,45189
1/29/17,1485648000,42509
1/30/17,1485734400,45369
1/31/17,1485820800,43649
2/1/17,1485907200,44541
2/2/17,1485993600,43709
2/3/17,1486080000,42778
2/4/17,1486166400,45410
2/5/17,1486252800,46542
2/6/17,1486339200,47306
2/7/17,1486425600,51866
2/8/17,1486512000,51089
2/9/17,1486598400,47873
2/10/17,1486684800,52222
2/11/17,1486771200,46560
2/12/17,1486857600,45319
2/13/17,1486944000,55990
2/14/17,1487030400,58298
2/15/17,1487116800,55320
2/16/17,1487203200,49674
2/17/17,1487289600,49406
2/18/17,1487376000,49398
2/19/17,1487462400,48227
2/20/17,1487548800,50152
2/21/17,1487635200,58434
2/22/17,1487721600,50372
2/23/17,1487808000,47601
2/24/17,1487894400,54081
2/25/17,1487980800,53245
2/26/17,1488067200,51716
2/27/17,1488153600,52642
2/28/17,1488240000,60277
3/1/17,1488326400,59774
3/2/17,1488412800,70779
3/3/17,1488499200,64294
3/4/17,1488585600,58756
3/5/17,1488672000,57031
3/6/17,1488758400,57020
3/7/17,1488844800,62589
3/8/17,1488931200,55386
3/9/17,1489017600,64266
3/10/17,1489104000,65132
3/11/17,1489190400,64803
3/12/17,1489276800,66646
3/13/17,1489363200,81718
3/14/17,1489449600,77155
3/15/17,1489536000,81205
3/16/17,1489622400,109950
3/17/17,1489708800,106635
3/18/17,1489795200,89920
3/19/17,1489881600,84599
3/20/17,1489968000,80264
3/21/17,1490054400,84298
3/22/17,1490140800,78821
3/23/17,1490227200,82434
3/24/17,1490313600,87775
3/25/17,1490400000,84394
3/26/17,1490486400,79534
3/27/17,1490572800,94570
3/28/17,1490659200,84348
3/29/17,1490745600,93064
3/30/17,1490832000,96209
3/31/17,1490918400,103102
4/1/17,1491004800,80572
4/2/17,1491091200,88948
4/3/17,1491177600,100221
4/4/17,1491264000,86279
4/5/17,1491350400,87411
4/6/17,1491436800,95177
4/7/17,1491523200,92846
4/8/17,1491609600,72144
4/9/17,1491696000,74557
4/10/17,1491782400,75487
4/11/17,1491868800,75891
4/12/17,1491955200,80347
4/13/17,1492041600,84124
4/14/17,1492128000,81155
4/15/17,1492214400,74820
4/16/17,1492300800,70634
4/17/17,1492387200,72546
4/18/17,1492473600,83303
4/19/17,1492560000,85734
4/20/17,1492646400,85450
4/21/17,1492732800,81278
4/22/17,1492819200,73539
4/23/17,1492905600,77073
4/24/17,1492992000,80531
4/25/17,1493078400,93033
4/26/17,1493164800,89642
4/27/17,1493251200,104494
4/28/17,1493337600,106193
4/29/17,1493424000,91335
4/30/17,1493510400,95202
5/1/17,1493596800,112202
5/2/17,1493683200,110354
5/3/17,1493769600,97334
5/4/17,1493856000,114877
5/5/17,1493942400,108514
5/6/17,1494028800,95014
5/7/17,1494115200,106631
5/8/17,1494201600,117509
5/9/17,1494288000,112933
5/10/17,1494374400,109673
5/11/17,1494460800,117189
5/12/17,1494547200,107241
5/13/17,1494633600,101332
5/14/17,1494720000,101348
5/15/17,1494806400,122792
5/16/17,1494892800,116341
5/17/17,1494979200,140135
5/18/17,1495065600,137409
5/19/17,1495152000,161568
5/20/17,1495238400,130912
5/21/17,1495324800,149699
5/22/17,1495411200,176255
5/23/17,1495497600,187121
5/24/17,1495584000,187293
5/25/17,1495670400,183010
5/26/17,1495756800,169818
5/27/17,1495843200,149450
5/28/17,1495929600,155271
5/29/17,1496016000,158547
5/30/17,1496102400,193618
5/31/17,1496188800,214126
6/1/17,1496275200,199160
6/2/17,1496361600,194911
6/3/17,1496448000,175666
6/4/17,1496534400,180136
6/5/17,1496620800,190305
6/6/17,1496707200,200523
6/7/17,1496793600,207180
6/8/17,1496880000,187700
6/9/17,1496966400,215831
6/10/17,1497052800,213356
6/11/17,1497139200,240490
6/12/17,1497225600,292941
6/13/17,1497312000,280054
6/14/17,1497398400,250410
6/15/17,1497484800,261617
6/16/17,1497571200,248003
6/17/17,1497657600,242022
6/18/17,1497744000,245957
6/19/17,1497830400,286209
6/20/17,1497916800,308488
6/21/17,1498003200,221289
6/22/17,1498089600,284225
6/23/17,1498176000,276012
6/24/17,1498262400,250570
6/25/17,1498348800,231135
6/26/17,1498435200,316788
6/27/17,1498521600,252995
6/28/17,1498608000,274241
6/29/17,1498694400,263791
6/30/17,1498780800,252652
7/1/17,1498867200,240465
7/2/17,1498953600,248617
7/3/17,1499040000,302032
7/4/17,1499126400,281465
7/5/17,1499212800,271606
7/6/17,1499299200,258791
7/7/17,1499385600,295389
7/8/17,1499472000,248142
7/9/17,1499558400,225189
7/10/17,1499644800,302633
7/11/17,1499731200,291677
7/12/17,1499817600,283828
7/13/17,1499904000,260745
7/14/17,1499990400,249381
7/15/17,1500076800,231961
7/16/17,1500163200,249138
7/17/17,1500249600,248473
7/18/17,1500336000,271055
7/19/17,1500422400,270122
7/20/17,1500508800,250065
7/21/17,1500595200,232560
7/22/17,1500681600,205574
7/23/17,1500768000,260490
7/24/17,1500854400,263095
7/25/17,1500940800,242956
7/26/17,1501027200,223010
7/27/17,1501113600,225435
7/28/17,1501200000,246494
7/29/17,1501286400,198773
7/30/17,1501372800,206624
7/31/17,1501459200,250090
8/1/17,1501545600,218582
8/2/17,1501632000,231068
8/3/17,1501718400,236335
8/4/17,1501804800,257160
8/5/17,1501891200,261400
8/6/17,1501977600,265127
8/7/17,1502064000,281172
8/8/17,1502150400,318866
8/9/17,1502236800,280308
8/10/17,1502323200,338241
8/11/17,1502409600,356682
8/12/17,1502496000,338654
8/13/17,1502582400,333011
8/14/17,1502668800,410061
8/15/17,1502755200,413246
8/16/17,1502841600,413624
8/17/17,1502928000,428007
8/18/17,1503014400,443356
8/19/17,1503100800,377418
8/20/17,1503187200,309926
8/21/17,1503273600,392880
8/22/17,1503360000,364727
8/23/17,1503446400,374711
